Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working,
Urmurzin Daniyar Kayratovich,· Plastic surgeon,Plastic surgery clinic,Almaty,Kazakhstan,4.4,-5,Ulitsa Katayeva 160,· 8 (700) 317 4451,⋅ Closes 5:30 PM,http://urmurzin.kz/,Open,
Byustklinika,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-3,"Микрорайон 3, 2а",· 8 (708) 479 1515,⋅ Closes 9 PM,https://www.bustclinica.kz/,Open,
Tiffany Plaza,· Skin care clinic,Plastic surgery clinic,Almaty,Kazakhstan,4.6,-48,Mikrorayon Samal-2 58А,· 8 (701) 203 4224,⋅ Closes 8 PM,,Open,
Sofi Aesthetic,· Skin care clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-5,Gagarin Ave 287 блок А,· 8 (707) 111 3896,⋅ Closes 7 PM,https://sofiaesthetic.com.kz/,Open,
Plasticheskiy Khirurg Amirbayev Maksim,· Plastic surgeon,Plastic surgery clinic,Almaty,Kazakhstan,5,-1,Markov St 71,· 8 (777) 200 0712,⋅ Closes 12 PM,,Open,
Центр Врачебной Косметологии SamalBeauty,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-2,Dostyk Ave 105/1,· 8 (747) 226 7327,⋅ Closes 6 PM,,Open,
IS Medical,· Medical clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-1,Navoi St 84,· 8 (700) 888 8103,⋅ Closes 7 PM,http://ismedical.kz/,Open,
"""Darus"" Meditsinskiy Tsentr Plasticheskoy Khirurgii I Lazernoy Kosmetologii",· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,3.9,-44,Baytursynova St 96,· 8 (776) 500 5256,⋅ Closes 7 PM,http://darus.kz/,Open,
Klinika Plasticheskoy Khirurgii Ol'gi Rubas,· Plastic surgery clinic,Plastic surgery clinic,Almaty,Kazakhstan,3.7,-3,Rozybakiev Street 33а,· 8 (701) 457 1022,⋅ Closes 1 PM,,Open,
Aleksey Kuimov,· Plastic surgeon,Plastic surgery clinic,Almaty,Kazakhstan,4,-4,Mukagali Makataev Street 127б,· 8 (705) 123 5356,⋅ Opens 10 AM Mon,https://www.kuimov.kz/,Closed,
DR.Vesta,· Skin care clinic,Plastic surgery clinic,Almaty,Kazakhstan,5,-1,Kabanbay Batyr St 239,· 8 (777) 898 8989,,https://2gis.kz/almaty/geo/70000001053408127,Open now,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Medical centre,Orthopedic clinic,Almaty,Kazakhstan,3.3,-93,Алматы,· 8 (727) 339 0350,Open 24 hours,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjR-dPRmuiLAxV_WZEFHb0WNQsYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWoMWZKKNSzNM4JQSoMQALhk8VKbvXLeyBBVC10d0j7CSGXx1LJt1tYaAm2YEALw_wcB&ohost=www.google.com&cid=CAESVeD2DZPi3_vakb56BEDj-Imtv8AZvylVQioqIwThcFupvgcr0q3sp_FxQOZI9ZLbhXlN1IHn9aFL_4XE_jqNYU2G3QmVwDCu79u2KDeg7bPUHnyvlcM&sig=AOD64_1OrN82s7qZqrOXAzhkirUWG3u2sw&q=&ctype=99&ved=2ahUKEwjUoM_RmuiLAxXMKBAIHUw_OnMQhKwBegQIHxAP&adurl=,· Medical centre,
IREI Medical,· Orthopedic clinic,Orthopedic clinic,Almaty,Kazakhstan,4.5,-10,Furmanov Ave 36,· 8 (771) 722 4010,⋅ Closes 8 PM,"https://www.google.com/maps/dir//IREI+Medical,+Furmanov+Ave+36,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f2eaf292307:0xdaff77ca95fc20e8?sa=X&ved=1t:57443&ictx=111",Open,
TURAN ORTHOPEDIA,· Orthotics & prosthetics service,Orthopedic clinic,Almaty,Kazakhstan,4.8,-5,улица Таугуль 1,· 8 (777) 128 7586,⋅ Closes 3 PM,"https://www.google.com/maps/dir//TURAN+ORTHOPEDIA,+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A2%D0%B0%D1%83%D0%B3%D1%83%D0%BB%D1%8C+1,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369006c90ea07:0x7eaded1086f4b3ae?sa=X&ved=1t:57443&ictx=111",Open,
"Клиника ортопедической реабилитации ""ORTHO CLINIC""""",· Medical clinic,Orthopedic clinic,Almaty,Kazakhstan,4,-3,Seyfullin Avenue 574/2,· 8 (778) 329 4848,⋅ Closes 2 PM,"https://www.google.com/maps/dir//%D0%9A%D0%BB%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0+%D0%BE%D1%80%D1%82%D0%BE%D0%BF%D0%B5%D0%B4%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%BE%D0%B9+%D1%80%D0%B5%D0%B0%D0%B1%D0%B8%D0%BB%D0%B8%D1%82%D0%B0%D1%86%D0%B8%D0%B8+%22ORTHO+CLINIC%22%22,+Seyfullin+Avenue+574%2F2,+Almaty+050059/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836fe50a710c63:0x1e151219c8fe4997?sa=X&ved=1t:57443&ictx=111",Open,
Saygak Orto,· Orthopedic clinic,Orthopedic clinic,Almaty,Kazakhstan,5,-4,Shevchenko St 148,· 8 (775) 007 2272,⋅ Closes 4 PM,"https://www.google.com/maps/dir//Saygak+Orto,+Shevchenko+St+148,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x2d7774958344803:0x68536cc3fff7a76a?sa=X&ved=1t:57443&ictx=111",Open,
Klinika Doktora Ratinova,· Medical clinic,Orthopedic clinic,Almaty,Kazakhstan,4.4,-18,Basenov St 10 3,· 8 (747) 514 2020,⋅ Closes 6 PM,"https://www.google.com/maps/dir//Klinika+Doktora+Ratinova,+Basenov+St+10+3,+Almaty+050060/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369dd16b16269:0xc9b4c16e0251a77b?sa=X&ved=1t:57443&ictx=111",Open,
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Medical Center,Orthopedic clinic,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,"https://www.google.com/maps/dir//%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D1%86%D0%B5%D0%BD%D1%82%D1%80+On+Clinic+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+-+%D0%A3%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,+%D0%9F%D1%80%D0%BE%D0%BA%D1%82%D0%BE%D0%BB%D0%BE%D0%B3,+%D0%93%D0%B8%D0%BD%D0%B5%D0%BA%D0%BE%D0%BB%D0%BE%D0%B3,+Gabdullin+St+94%2F132,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388368d806cfffff:0x1ad51b93ba5fc816?sa=X&ved=1t:57443&ictx=111",Open,
Akademiya Ortopedii,· Hospital,Orthopedic clinic,Almaty,Kazakhstan,3.8,-13,"7W4X+564, Tolebaev St",· 8 (7272) 61 03 01,⋅ Closes 8 PM,"https://www.google.com/maps/dir//7W4X%2B564+Akademiya+Ortopedii,+Tolebaev+St,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836e93a23d6a27:0x4c26bb70002ec6e?sa=X&ved=1t:57443&ictx=111",Open,
Akademiya Ortopedii,· Medical Center,Orthopedic clinic,Almaty,Kazakhstan,3.8,-20,"159, Gagarin Ave 157",· 8 (727) 382 6021,⋅ Closes 6 PM,"https://www.google.com/maps/dir//Akademiya+Ortopedii,+159,+Gagarin+Ave+157,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388368ddbd298c49:0x3031c84bd4ac9b99?sa=X&ved=1t:57443&ictx=111",Open,
Private Clinic Almaty,· Medical clinic,Orthopedic clinic,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,"https://www.google.com/maps/dir//Private+Clinic+Almaty,+%D0%BC%D0%BA%D1%80.+%D0%9C%D0%B8%D1%80%D0%B0%D1%81,+45,+Almaty+050043/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388368806216da69:0xda1f853ca0d2370b?sa=X&ved=1t:57443&ictx=111",Open,
ОртопедМед,· Orthopedic surgeon,Orthopedic clinic,Almaty,Kazakhstan,3,-2,Abay Ave 109А,· 8 (701) 257 8845,⋅ Closes 8 PM,"https://www.google.com/maps/dir//%D0%9E%D1%80%D1%82%D0%BE%D0%BF%D0%B5%D0%B4%D0%9C%D0%B5%D0%B4,+Abay+Ave+109%D0%90,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3883693084100001:0x4cb0c0a19cb24f6e?sa=X&ved=1t:57443&ictx=111",Open,
"Gastroclinic | Медицинский центр Алматы | Гастроэнтеролог, анализы",· Medical clinic,Orthopedic clinic,Almaty,Kazakhstan,4,-42,Ulitsa Sholom Aleykhem 19,· 8 (727) 390 2220,⋅ Closes 3 PM,"https://www.google.com/maps/dir//Gastroclinic+%7C+%D0%9C%D0%B5%D0%B4%D0%B8%D1%86%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D1%86%D0%B5%D0%BD%D1%82%D1%80+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B+%7C+%D0%93%D0%B0%D1%81%D1%82%D1%80%D0%BE%D1%8D%D0%BD%D1%82%D0%B5%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D0%B7%D1%8B,+Ulitsa+Sholom+Aleykhem+19,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f2440a8b645:0xca0c393df7790aab?sa=X&ved=1t:57443&ictx=111",Open,
Лечение косоглазия и зрения ORTOPTIC Алматы,· Ophthalmology clinic,Orthopedic clinic,Almaty,Kazakhstan,4.6,-40,микрорайон 8 дом 8,· 8 (707) 743 6888,⋅ Closes 3 PM,"https://www.google.com/maps/dir//%D0%9B%D0%B5%D1%87%D0%B5%D0%BD%D0%B8%D0%B5+%D0%BA%D0%BE%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D0%B7%D0%B8%D1%8F+%D0%B8+%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D1%8F+ORTOPTIC+%D0%90%D0%BB%D0%BC%D0%B0%D1%82%D1%8B,+%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D1%80%D0%B0%D0%B9%D0%BE%D0%BD+8+%D0%B4%D0%BE%D0%BC+8,+Almaty+050062/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369ac8aaaa457:0x64d4866d651eec03?sa=X&ved=1t:57443&ictx=111",Open,
Extra Comfort,· Orthopedic clinic,Orthopedic clinic,Almaty,Kazakhstan,4.4,-12,· 8 (702) 517 2280,,⋅ Closes 3 PM,,Open,
Zhaksymuratov Mukhit Zakirovich,· Orthopedic surgeon,Orthopedic clinic,Almaty,Kazakhstan,5,-2,Papanin St 220,8 (702) 683 1546,,"https://www.google.com/maps/dir//Zhaksymuratov+Mukhit+Zakirovich,+Papanin+St+220,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836c489a64905d:0xc186cfb510fd9f4c?sa=X&ved=1t:57443&ictx=111",,
ASTANA VISION,· Ophthalmology Clinic,Oncological clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjxkqTrm-iLAxWOGaIDHbfRK7IYABAHGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWrEdiKqEM1jd-fLNfgYEtoDUA8HBurLPSMNzNNyDfsSBxMr-ZiyQyQaApgFEALw_wcB&ohost=www.google.com&cid=CAESVeD24x4TQDfD-6wMP2Wd2T3vx9gpYYeGhJoOZBAPOdHISgtvFJjmco4OsSmJNKCR6-s5pGvfxZmojMqAp8Uyjq6qrvNR_D81ZwVN86Uoy49ovUcXYh4&sig=AOD64_2ba-n82y61_0fqQ1kfkFe3KH1w_g&q=&ctype=99&ved=2ahUKEwjHyJ_rm-iLAxVSQVUIHV0gGy8QhKwBegQIIBAP&adurl=,Open,
Oncology Hospital,· University hospital,Oncological clinics,Almaty,Kazakhstan,5,-4,Shagabutdinov St 152/91,· 8 (7272) 92 90 63,⋅ Opens 9 AM Mon,http://www.onco.kz/,Closed,
Oncobiomedical - центр онкологии и хирургии,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,5,-3,Абдуллы Розыбакиева 33А,· 8 (777) 825 1818,⋅ Closes 2 PM,https://oncobiomedical.com/,Open,
Aots,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,3.8,-52,Papanin St 220,· 8 (727) 312 2474,⋅ Opens 8 AM Mon,,Closed,
Medical Heal,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,4,-4,"Жетысу 3-й, Микрорайон- 4 2а",· 8 (777) 340 7484,⋅ Closes 2 PM,,Open,
Meditsinskiy Tsentr Sunkar,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,4.3,-379,Tole Bi Street 289,· 8 (727) 373 0606,⋅ Closes 8 PM,http://densaulyk.kz/,Open,
"Meditsinskiy Tsentr On Klinik Almaty Urolog, Proktolog, Ginekolog",· Medical clinic,Oncological clinics,Almaty,Kazakhstan,4.1,-58,Abay Ave 20/14,· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open,
Kazakhskiy Nauchno-Issledovatel'skiy Institut Onkologii I Radiologii,· Hospital,Oncological clinics,Almaty,Kazakhstan,3.7,-155,"город, Abay Ave 91",· 8 (727) 349 6116,⋅ Opens 8:30 AM Mon,http://onco.kz/,Closed,
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Medical Center,Oncological clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open,
"Медицинский центр On Clinic - Уролог, Проктолог, Гинеколог",· Medical Center,Oncological clinics,Almaty,Kazakhstan,4.7,-163,"улица Ришата и Муслима, Abdulliny St 30",· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open,
Doktor Kredo,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,5,-1,"Алматы, Думан 2,д 27, н.п. 72",· 8 (777) 348 1818,⋅ Opens 10 AM Mon,https://www.oncodoctor.kz/,Closed,
"Medical Center ""Rakhat"" Almaty",· Medical clinic,Oncological clinics,Almaty,Kazakhstan,3.9,-139,Abay Ave 58а,· 8 (747) 700 1033,⋅ Closes 3 PM,https://rklinik.kz/,Open,
Центр фтизиопульмонологии,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,4.1,-7,улица Гончарная 21а,8 (7272) 97 43 73,,http://cf-almaty.kz/en/uslugi-4.html,,
Tomoterapiya,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,5,-1,"Абая, 91 3-й корпус",· 8 (727) 355 6773,⋅ Opens 9 AM Mon,,Closed,
Private Clinic Almaty,· Medical clinic,Oncological clinics,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,http://www.privateclinic.kz/,Open,
Алматинская региональная многопрофильная клиника,· Medical clinic,Oncological clinics,Almaty,Kazakhstan,5,-3,Роза Бағланова көшесі 69а,,,,,
Алматинская региональная многопрофильная клиника,· Medical clinic,Oncological clinics,Almaty,Kazakhstan,5,3,Роза Бағланова көшесі 69а,,,,,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Medical centre,Neurosurgery,Almaty,Kazakhstan,3.3,-93,Алматы,· 8 (727) 339 0350,Open 24 hours,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwic69jCneiLAxUbC6IDHdIaGWgYABAAGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWqL3caY-u9PU5QEeQPEIX-wQj6UNg2adkwOIoWsf_UPEBf4HusHw-saAl2pEALw_wcB&ohost=www.google.com&cid=CAESVeD2LKItR0dQrjQbSdQoJHVnJRoXYr8kYRq0Scf6_z1lSrMl6nt16ZP6dOJI7pnuQrJp5pOrIqIimOT8CDmFd3x6gr5wZq-ybuc9dNJfZMIiDkwNxp8&sig=AOD64_17oQGow5EMZAzhaJGWcndeLPHHvw&q=&ctype=99&ved=2ahUKEwjwoNXCneiLAxVtLhAIHai6HwEQhKwBegQIGBAP&adurl=,,
Сосудистое нейрохирургическое отделение ГКБ №7 г. Алматы,· Neurosurgeon,Neurosurgery,Almaty,Kazakhstan,3,-2,микрорайон Калкаман 20,· 8 (7272) 28 07 77,Open 24 hours,http://vna.kz/,,
Tsentr Lecheniya Boli,· Neurosurgeon,Neurosurgery,Almaty,Kazakhstan,5,-1,"ул. Толе би, 289, Utegen Batyr St 76 Д",· 8 (705) 272 7775,Open,https://instagram.com/painmanagement_kz?igshid=MzRlODBiNWFlZA==,⋅ Closes 1 PM,
№7 city clinical hospital,· Hospital,Neurosurgery,Almaty,Kazakhstan,3.4,-340,ул. Аспандиярова 78,· 8 (7272) 28 07 77,Open 24 hours,http://gkb7.kz/,,
Tsentral'naya Gorodskaya Klinicheskaya Bol'nitsa G.almaty,· Hospital,Neurosurgery,Almaty,Kazakhstan,3.7,-247,Zhandosov Street 6,· 8 (7272) 74 82 61,Open 24 hours,http://almaty-cgkb.kz/,,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Medical centre,Ent clinics,Almaty,Kazakhstan,3.3,-93,Алматы,· 8 (727) 339 0350,Open 24 hours,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjG7f3PnuiLAxUoYZEFHcvxMpwYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWqSHW-NERteb58HxwT97zJ8VgIjWxX65UCtuR58xu5uPLoNm2ePjfAaAjCOEALw_wcB&ohost=www.google.com&cid=CAESVeD2IFJKe9cDWE19hWqOlBK-i9Xn87Npd2IgxWxSLAkwHRFWQWDq1aFBnF0AlZkjIcYM2eMc3hkm9tAgoLZGSy_SbnEO_jxtsQerHhX1Wzu218OXXM0&sig=AOD64_0ns5YfXraHy9xJObRbMLLOMmiHKQ&q=&ctype=99&ved=2ahUKEwis7fnPnuiLAxUyKBAIHYHIGeMQhKwBegQIFxAP&adurl=,· Medical centre,
ЛОР-центр V-ent,· Otolaryngology clinic,Ent clinics,Almaty,Kazakhstan,3.6,-20,Navoi St 58,· 8 (700) 321 0300,⋅ Closes 2 PM,"https://www.google.com/maps/dir//%D0%9B%D0%9E%D0%A0-%D1%86%D0%B5%D0%BD%D1%82%D1%80+V-ent,+Navoi+St+58,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388368fabbeef2b1:0x9c5abaa815862ac0?sa=X&ved=1t:57443&ictx=111",Open,
ЛОР Status,· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.7,-38,Toraygirov Street 49/1,· 8 (775) 930 3835,⋅ Closes 8 PM,"https://www.google.com/maps/dir//%D0%9B%D0%9E%D0%A0+Status,+Toraygirov+Street+49%2F1,+Almaty+050043/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369751ccbb7e7:0xbcfab613671f5c31?sa=X&ved=1t:57443&ictx=111",Open,
Lor-Vrach V Almaty,· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.8,-24,"Аксай-3 5, в здании Invivo",· 8 (778) 704 4451,⋅ Closes 3 PM,"https://www.google.com/maps/dir//Lor-Vrach+V+Almaty,+%D0%90%D0%BA%D1%81%D0%B0%D0%B9-3+5,+%D0%B2+%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B8+Invivo,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369fa68322b9b:0xb23ae2e93b9446ce?sa=X&ved=1t:57443&ictx=111",Open,
"ЛОР Центр ""Ai-Medicus""",· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.2,-105,"Мамыр-7, Shalyapin St 19А",· 8 (700) 415 8704,⋅ Closes 6 PM,"https://www.google.com/maps/dir//%D0%9B%D0%9E%D0%A0+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%22Ai-Medicus%22,+%D0%9C%D0%B0%D0%BC%D1%8B%D1%80-7,+Shalyapin+St+19%D0%90,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836847d75aaaab:0x8af79912d9c7d68b?sa=X&ved=1t:57443&ictx=111",Open,
Лор-clinic,· Medical Center,Ent clinics,Almaty,Kazakhstan,3.5,-12,Ulitsa Karasay Batyra 152,· 8 (7272) 25 40 89,⋅ Closes 2 PM,"https://www.google.com/maps/dir//%D0%9B%D0%BE%D1%80-clinic,+Ulitsa+Karasay+Batyra+152,+Almaty+050026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836999ef8d4291:0xf604a724c88a95e9?sa=X&ved=1t:57443&ictx=111",Open,
Lor Almaty,· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.7,-15,"Вход со стороны, Maulenov Street 133",· 8 (700) 415 8704,⋅ Closes 6 PM,"https://www.google.com/maps/dir//Lor+Almaty,+%D0%92%D1%85%D0%BE%D0%B4+%D1%81%D0%BE+%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%8B,+Maulenov+Street+133,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836fea4dfe7c1f:0x6b84a95a1f758b9?sa=X&ved=1t:57443&ictx=111",Open,
ASTANA VISION,· Ophthalmology Clinic,Gastroenterology clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiLocWRqOiLAxWAUJEFHSk0NA0YABAHGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWrkHbqVhbJuUONmMKgobNsorr9_r_1cGOOGc0BBJi0FFvI8zkDWZi4aAqOhEALw_wcB&ohost=www.google.com&cid=CAESVeD2WhZucNiJBEHVvSQgW8ubua-bl9ktYdz2DaYXmDuE6uy6z8R7w5bTRu0_DcAKvWiQWeGv-PxCn--kYntxQRUoCvJo0ucMCzLDfeAQ5LAkhcmD4J0&sig=AOD64_3pZhFP4KPTo4ftxh2Tit45zXIkCQ&q=&ctype=99&ved=2ahUKEwiXlsGRqOiLAxU9KRAIHUVGN1IQhKwBegQIFRAP&adurl=,Open,
"Gastroclinic | Медицинский центр Алматы | Гастроэнтеролог, анализы",· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4,-42,Ulitsa Sholom Aleykhem 19,· 8 (727) 390 2220,⋅ Closes 3 PM,https://gastroclinic-med.ru/?utm_source=gmb,Open,
Altyn Medicus | Центр лазерной хирургии | Флебология | Проктология,· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4.9,-257,Manas St 7б,· 8 (700) 310 9888,⋅ Closes 2 PM,http://altynmed.kz/,Open,
Allergo Clinic,· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4,-117,Navoi St 208,· 8 (701) 312 1312,⋅ Closes 7:30 PM,https://www.allergoclinic.kz/,Open,
"Interna Clinic - Институт Гастроэнтерологии, гепатологии и метаболизма",· Medical clinic,Gastroenterology clinics,Almaty,Kazakhstan,4.7,-26,Bogenbai Batyr Street 248,· 8 (700) 711 0550,⋅ Closes 5 PM,https://internaclinic.kz/,Open,
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open,
Private Clinic Almaty,· Medical clinic,Gastroenterology clinics,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,http://www.privateclinic.kz/,Open,
FENIX MED,· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,5,-3,улица Жибек Жолы 67,· 8 (700) 978 0303,⋅ 1 PM,,Closes soon,
