Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working
ASTANA VISION,· Ophthalmology Clinic,Oncological clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjxkqTrm-iLAxWOGaIDHbfRK7IYABAHGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWrEdiKqEM1jd-fLNfgYEtoDUA8HBurLPSMNzNNyDfsSBxMr-ZiyQyQaApgFEALw_wcB&ohost=www.google.com&cid=CAESVeD24x4TQDfD-6wMP2Wd2T3vx9gpYYeGhJoOZBAPOdHISgtvFJjmco4OsSmJNKCR6-s5pGvfxZmojMqAp8Uyjq6qrvNR_D81ZwVN86Uoy49ovUcXYh4&sig=AOD64_2ba-n82y61_0fqQ1kfkFe3KH1w_g&q=&ctype=99&ved=2ahUKEwjHyJ_rm-iLAxVSQVUIHV0gGy8QhKwBegQIIBAP&adurl=,Open
Oncology Hospital,· University hospital,Oncological clinics,Almaty,Kazakhstan,5,-4,Shagabutdinov St 152/91,· 8 (7272) 92 90 63,⋅ Opens 9 AM Mon,http://www.onco.kz/,Closed
Oncobiomedical - центр онкологии и хирургии,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,5,-3,Абдуллы Розыбакиева 33А,· 8 (777) 825 1818,⋅ Closes 2 PM,https://oncobiomedical.com/,Open
Aots,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,3.8,-52,Papanin St 220,· 8 (727) 312 2474,⋅ Opens 8 AM Mon,,Closed
Medical Heal,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,4,-4,"Жетысу 3-й, Микрорайон- 4 2а",· 8 (777) 340 7484,⋅ Closes 2 PM,,Open
Meditsinskiy Tsentr Sunkar,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,4.3,-379,Tole Bi Street 289,· 8 (727) 373 0606,⋅ Closes 8 PM,http://densaulyk.kz/,Open
"Meditsinskiy Tsentr On Klinik Almaty Urolog, Proktolog, Ginekolog",· Medical clinic,Oncological clinics,Almaty,Kazakhstan,4.1,-58,Abay Ave 20/14,· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open
Kazakhskiy Nauchno-Issledovatel'skiy Institut Onkologii I Radiologii,· Hospital,Oncological clinics,Almaty,Kazakhstan,3.7,-155,"город, Abay Ave 91",· 8 (727) 349 6116,⋅ Opens 8:30 AM Mon,http://onco.kz/,Closed
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Medical Center,Oncological clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open
"Медицинский центр On Clinic - Уролог, Проктолог, Гинеколог",· Medical Center,Oncological clinics,Almaty,Kazakhstan,4.7,-163,"улица Ришата и Муслима, Abdulliny St 30",· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open
Doktor Kredo,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,5,-1,"Алматы, Думан 2,д 27, н.п. 72",· 8 (777) 348 1818,⋅ Opens 10 AM Mon,https://www.oncodoctor.kz/,Closed
"Medical Center ""Rakhat"" Almaty",· Medical clinic,Oncological clinics,Almaty,Kazakhstan,3.9,-139,Abay Ave 58а,· 8 (747) 700 1033,⋅ Closes 3 PM,https://rklinik.kz/,Open
Центр фтизиопульмонологии,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,4.1,-7,улица Гончарная 21а,8 (7272) 97 43 73,,http://cf-almaty.kz/en/uslugi-4.html,
Tomoterapiya,· Cancer treatment center,Oncological clinics,Almaty,Kazakhstan,5,-1,"Абая, 91 3-й корпус",· 8 (727) 355 6773,⋅ Opens 9 AM Mon,,Closed
Private Clinic Almaty,· Medical clinic,Oncological clinics,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,http://www.privateclinic.kz/,Open
Алматинская региональная многопрофильная клиника,· Medical clinic,Oncological clinics,Almaty,Kazakhstan,5,-3,Роза Бағланова көшесі 69а,,,,
Алматинская региональная многопрофильная клиника,· Medical clinic,Oncological clinics,Almaty,Kazakhstan,5,3,Роза Бағланова көшесі 69а,,,,
Сосудистое нейрохирургическое отделение ГКБ №7 г. Алматы,· Neurosurgeon,Neurosurgery,Almaty,Kazakhstan,3,-2,микрорайон Калкаман 20,· 8 (7272) 28 07 77,Open 24 hours,http://vna.kz/,
Tsentr Lecheniya Boli,· Neurosurgeon,Neurosurgery,Almaty,Kazakhstan,5,-1,"ул. Толе би, 289, Utegen Batyr St 76 Д",· 8 (705) 272 7775,Open,https://instagram.com/painmanagement_kz?igshid=MzRlODBiNWFlZA==,⋅ Closes 1 PM
№7 city clinical hospital,· Hospital,Neurosurgery,Almaty,Kazakhstan,3.4,-340,ул. Аспандиярова 78,· 8 (7272) 28 07 77,Open 24 hours,http://gkb7.kz/,
Tsentral'naya Gorodskaya Klinicheskaya Bol'nitsa G.almaty,· Hospital,Neurosurgery,Almaty,Kazakhstan,3.7,-247,Zhandosov Street 6,· 8 (7272) 74 82 61,Open 24 hours,http://almaty-cgkb.kz/,
ЛОР-центр V-ent,· Otolaryngology clinic,Ent clinics,Almaty,Kazakhstan,3.6,-20,Navoi St 58,· 8 (700) 321 0300,⋅ Closes 2 PM,"https://www.google.com/maps/dir//%D0%9B%D0%9E%D0%A0-%D1%86%D0%B5%D0%BD%D1%82%D1%80+V-ent,+Navoi+St+58,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388368fabbeef2b1:0x9c5abaa815862ac0?sa=X&ved=1t:57443&ictx=111",Open
ЛОР Status,· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.7,-38,Toraygirov Street 49/1,· 8 (775) 930 3835,⋅ Closes 8 PM,"https://www.google.com/maps/dir//%D0%9B%D0%9E%D0%A0+Status,+Toraygirov+Street+49%2F1,+Almaty+050043/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369751ccbb7e7:0xbcfab613671f5c31?sa=X&ved=1t:57443&ictx=111",Open
Lor-Vrach V Almaty,· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.8,-24,"Аксай-3 5, в здании Invivo",· 8 (778) 704 4451,⋅ Closes 3 PM,"https://www.google.com/maps/dir//Lor-Vrach+V+Almaty,+%D0%90%D0%BA%D1%81%D0%B0%D0%B9-3+5,+%D0%B2+%D0%B7%D0%B4%D0%B0%D0%BD%D0%B8%D0%B8+Invivo,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x388369fa68322b9b:0xb23ae2e93b9446ce?sa=X&ved=1t:57443&ictx=111",Open
"ЛОР Центр ""Ai-Medicus""",· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.2,-105,"Мамыр-7, Shalyapin St 19А",· 8 (700) 415 8704,⋅ Closes 6 PM,"https://www.google.com/maps/dir//%D0%9B%D0%9E%D0%A0+%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%22Ai-Medicus%22,+%D0%9C%D0%B0%D0%BC%D1%8B%D1%80-7,+Shalyapin+St+19%D0%90,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836847d75aaaab:0x8af79912d9c7d68b?sa=X&ved=1t:57443&ictx=111",Open
Лор-clinic,· Medical Center,Ent clinics,Almaty,Kazakhstan,3.5,-12,Ulitsa Karasay Batyra 152,· 8 (7272) 25 40 89,⋅ Closes 2 PM,"https://www.google.com/maps/dir//%D0%9B%D0%BE%D1%80-clinic,+Ulitsa+Karasay+Batyra+152,+Almaty+050026/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836999ef8d4291:0xf604a724c88a95e9?sa=X&ved=1t:57443&ictx=111",Open
Lor Almaty,· Otolaryngologist,Ent clinics,Almaty,Kazakhstan,4.7,-15,"Вход со стороны, Maulenov Street 133",· 8 (700) 415 8704,⋅ Closes 6 PM,"https://www.google.com/maps/dir//Lor+Almaty,+%D0%92%D1%85%D0%BE%D0%B4+%D1%81%D0%BE+%D1%81%D1%82%D0%BE%D1%80%D0%BE%D0%BD%D1%8B,+Maulenov+Street+133,+Almaty+050000/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836fea4dfe7c1f:0x6b84a95a1f758b9?sa=X&ved=1t:57443&ictx=111",Open
"Gastroclinic | Медицинский центр Алматы | Гастроэнтеролог, анализы",· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4,-42,Ulitsa Sholom Aleykhem 19,· 8 (727) 390 2220,⋅ Closes 3 PM,https://gastroclinic-med.ru/?utm_source=gmb,Open
Altyn Medicus | Центр лазерной хирургии | Флебология | Проктология,· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4.9,-257,Manas St 7б,· 8 (700) 310 9888,⋅ Closes 2 PM,http://altynmed.kz/,Open
Allergo Clinic,· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4,-117,Navoi St 208,· 8 (701) 312 1312,⋅ Closes 7:30 PM,https://www.allergoclinic.kz/,Open
"Interna Clinic - Институт Гастроэнтерологии, гепатологии и метаболизма",· Medical clinic,Gastroenterology clinics,Almaty,Kazakhstan,4.7,-26,Bogenbai Batyr Street 248,· 8 (700) 711 0550,⋅ Closes 5 PM,https://internaclinic.kz/,Open
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open
Private Clinic Almaty,· Medical clinic,Gastroenterology clinics,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,http://www.privateclinic.kz/,Open
FENIX MED,· Gastroenterologist,Gastroenterology clinics,Almaty,Kazakhstan,5,-3,улица Жибек Жолы 67,· 8 (700) 978 0303,⋅ 1 PM,,Closes soon
HealthCity диагностическая клиника,· Diagnostic center,Gastroenterology clinics,Almaty,Kazakhstan,4.6,-224,Musabaev St 8,· 8 (778) 021 1977,⋅ Closes 4 PM,http://www.healthcity.kz/,Open
UROPRO Клиника мужского здоровья,· Urology clinic,Urology  clinics,Almaty,Kazakhstan,5,-1,Shevchenko St 148,· 8 (778) 888 1222,⋅ Closes 3 PM,https://uropro.kz/,Open
Urolog,· Urology clinic,Urology  clinics,Almaty,Kazakhstan,5,-9,Shevchenko St 153,· 8 (707) 113 0412,⋅ Closes 2 PM,,Open
UROLOGIST Almaty ROUND THE CLOCK,· Urologist,Urology  clinics,Almaty,Kazakhstan,4,-9,Manas St 59,· 8 (707) 000 0103,,http://emirmed.kz/,Open 24 hours
Urology Research Center,· Research institute,Urology  clinics,Almaty,Kazakhstan,3,-103,Basenov St 2,· 8 (7272) 22 15 15,⋅ Opens 9 AM Mon,,Closed
"Медицинский центр On Clinic - Уролог, Проктолог, Гинеколог",· Urologist,Urology  clinics,Almaty,Kazakhstan,4.7,-163,"улица Ришата и Муслима, Abdulliny St 30",· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Urologist,Urology  clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open
SEMA Hospital,· Hospital,Urology  clinics,Almaty,Kazakhstan,3.9,-267,Nauryzbai Batyr St 31,· 8 (727) 310 0103,⋅ Closes 6 PM,http://semahospital.kz/,Open
Хирург Уролог | Андролог-сексопатолог,· Urologist,Urology  clinics,Almaty,Kazakhstan,5,-1,Abay Ave 115,8 (701) 710 4968,,,
Институт урологии и трансплантологии,· Hospital,Urology  clinics,Almaty,Kazakhstan,5,-3,Tole Bi Street 289,· 8 (727) 373 0606,⋅ Closes 8 PM,http://www.densaulyk.kz/,Open
Meditsinskiy Tsentr Talant-K,· Urology clinic,Urology  clinics,Almaty,Kazakhstan,4.8,-19,улица Алпамыс Батыра 28,· 8 (707) 487 3000,,https://medcentrtalant.kz/,Open 24 hours
Private Clinic Almaty,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,http://www.privateclinic.kz/,Open
Urolog,· Urologist,Urology  clinics,Almaty,Kazakhstan,5,-1,Ulitsa Yelemesova 44а,,⋅ Closes 12 AM,,Open
Helmir Hospital,· Medical Center,Urology  clinics,Almaty,Kazakhstan,4.2,-30,Жамакаева ул. 254/1,· 8 (727) 339 4040,,,Open 24 hours
Institut Reproduktivnoy Meditsiny,· Fertility clinic,Urology  clinics,Almaty,Kazakhstan,4.4,-39,Kabanbay Batyr St 226,· 8 (7272) 34 34 34,⋅ Closes 7 PM,https://irm.kz/,Open
Многопрофильный медицинский центр Medical Park,· Medical Center,Urology  clinics,Almaty,Kazakhstan,4.1,-226,Rozybakiev Street 105Б,· 8 (727) 303 3333,⋅ 1 PM,http://medicalpark.kz/,Closes soon
Respublikanskiy Semeyno-Vrachebnyy Tsentr,· Medical Center,Urology  clinics,Almaty,Kazakhstan,3.2,-32,Aiteke Bi St 83,· 8 (701) 258 8100,⋅ Closes 2 PM,https://rfmc.kz/,Open
Репродуктивтік медицина институты ИРМ,· Reproductive health clinic,Urology  clinics,Almaty,Kazakhstan,4.3,-184,Tole Bi Street 99,· 8 (771) 934 3434,⋅ Closes 8 PM,http://irm.kz/,Open
АО «Национальный научный центр хирургии им. А.Н. Сызганова»,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,3.9,-228,Zheltoksan St 62,· 8 (7272) 79 22 40,⋅ 1 PM,,Closes soon
Nauchnyy Urologitseskiy Tsentr,· Hospital,Urology  clinics,Almaty,Kazakhstan,4,-2,"город, Zharokov St 215",· 8 (7272) 46 52 10,⋅ Opens 8 AM Mon,http://urology.kz/,Closed
Diagnosticheskiy Tsentr Orkhun Medikal/ Orhun Medical,· Medical Center,Urology  clinics,Almaty,Kazakhstan,3.1,-234,"ул. Казыбек би, дом 12В",,,https://orhun.kz/filialy/medicinskij-centr-na-kazybek-bi/,Open 24 hours
Scientific Center of the Pediatrics and Pediatric Surgery,· Hospital,Urology  clinics,Almaty,Kazakhstan,4.1,-165,Al-Farabi Avenue 146,· 8 (7272) 99 26 87,⋅ Opens 8 AM Mon,https://pediatria.kz/,Closed
INVITRO медицинский центр,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,5,-2,Al-Farabi Avenue 17/1,· 8 (700) 715 1515,⋅ Closes 7 PM,http://www.invitro.kz/,Open
Ali Med,· Medical Center,Urology  clinics,Almaty,Kazakhstan,4,-14,Sharipov St уг,· 8 (7272) 92 65 13,⋅ Closes 4 PM,,Open
EMIRMED,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,3.2,-125,Rozybakiev Street 37В,· 8 (708) 911 4038,,https://emirmed.kz/,Open 24 hours
